Regiocode;Regionaam;Soort regio;Aantal inwoners;0015;1525;2545;4565;65+
NL00;Nederland;Land;17.407.585;2.726.099;2.143.743;4.308.904;4.836.284;3.392.555
PV22;Drenthe (provincie);Provincie;493.682;74.264;55.205;101.495;147.433;115.285
PV24;Flevoland (provincie);Provincie;423.021;78.954;54.368;111.873;118.043;59.783
PV21;Friesland (provincie);Provincie;649.957;102.275;79.438;142.178;185.293;140.773
PV25;Gelderland (provincie);Provincie;2.085.952;325.968;263.035;477.061;593.788;426.100
PV20;Groningen (provincie);Provincie;585.866;81.390;89.326;140.774;157.641;116.735
PV31;Limburg (provincie);Provincie;1.117.201;143.280;128.465;243.898;334.713;266.845
PV30;Noord-Brabant (provincie);Provincie;2.562.955;385.783;310.951;616.598;728.961;520.662
PV27;Noord-Holland (provincie);Provincie;2.879.527;448.179;339.060;788.340;783.695;520.253
PV23;Overijssel (provincie);Provincie;1.162.406;190.846;150.186;273.838;320.432;227.104
PV26;Utrecht (provincie);Provincie;1.354.834;231.853;170.765;360.040;360.577;231.599
PV29;Zeeland (provincie);Provincie;383.488;57.820;42.171;82.084;109.975;91.438
PV28;Zuid-Holland (provincie);Provincie;3.708.696;605.487;460.773;970.725;995.733;675.978
GM1680;Aa en Hunze;Gemeente;25.445;3.460;2.624;4.375;8.249;6.737
GM0358;Aalsmeer;Gemeente;31.859;5.577;3.752;7.073;9.545;5.912
GM0197;Aalten;Gemeente;27.121;4.217;3.053;5.438;8.301;6.112
GM0059;Achtkarspelen;Gemeente;27.843;4.840;3.402;6.190;7.844;5.567
GM0482;Alblasserdam;Gemeente;20.165;3.886;2.485;4.570;5.241;3.983
GM0613;Albrandswaard;Gemeente;25.590;4.546;2.900;5.718;7.964;4.462
GM0361;Alkmaar;Gemeente;109.436;16.775;11.959;28.273;30.833;21.596
GM0141;Almelo;Gemeente;73.107;11.560;8.997;17.443;20.609;14.498
GM0034;Almere;Gemeente;211.893;39.421;27.231;59.451;60.899;24.891
GM1723;Alphen Chaam;Gemeente;10.203;1.505;1.134;2.025;3.175;2.364
GM0484;Alphen aan den Rijn;Gemeente;111.897;18.322;13.220;27.508;31.451;21.396
GM1959;Altena;Gemeente;55.967;9.791;6.787;12.588;15.716;11.085
GM0060;Ameland;Gemeente;3.716;580;383;864;1.028;861
GM0307;Amersfoort;Gemeente;157.276;28.506;18.903;41.982;44.220;23.665
GM0362;Amstelveen;Gemeente;91.675;16.075;10.809;23.937;23.238;17.616
GM0363;Amsterdam;Gemeente;872.757;125.119;108.636;317.667;210.376;110.959
GM0200;Apeldoorn;Gemeente;163.818;25.441;19.047;37.856;46.948;34.526
GM0003;Appingedam;Gemeente;11.642;1.632;1.268;2.318;3.473;2.951
GM0202;Arnhem;Gemeente;161.348;25.210;21.164;47.787;42.394;24.793
GM0106;Assen;Gemeente;68.599;10.976;8.118;15.845;19.738;13.922
GM0743;Asten;Gemeente;16.721;2.479;2.003;3.565;4.898;3.776
GM0744;Baarle Nassau;Gemeente;6.859;936;634;1.422;2.018;1.849
GM0308;Baarn;Gemeente;24.868;3.899;2.510;5.230;7.266;5.963
GM0489;Barendrecht;Gemeente;48.714;8.761;6.344;10.241;14.750;8.618
GM0203;Barneveld;Gemeente;59.082;12.637;8.067;14.157;14.451;9.770
GM0888;Beek;Gemeente;15.865;1.928;1.617;3.258;4.956;4.106
GM1954;Beekdaelen;Gemeente;35.938;4.627;3.534;7.155;11.294;9.328
GM0370;Beemster;Gemeente;10.022;1.740;1.089;2.213;2.971;2.009
GM0889;Beesel;Gemeente;13.482;1.871;1.507;2.748;4.150;3.206
GM1945;Berg en Dal;Gemeente;34.992;4.626;3.839;6.865;10.974;8.688
GM1724;Bergeijk;Gemeente;18.635;2.681;2.216;3.894;5.685;4.159
GM0893;Bergen L;Gemeente;13.085;1.706;1.438;2.479;4.329;3.133
GM0373;Bergen Nh;Gemeente;29.839;3.529;3.151;4.189;9.254;9.716
GM0748;Bergen op Zoom;Gemeente;67.496;10.029;7.445;15.411;19.957;14.654
GM1859;Berkelland;Gemeente;43.747;6.177;5.002;8.184;13.426;10.958
GM1721;Bernheze;Gemeente;31.240;4.844;4.022;6.683;9.114;6.577
GM0753;Best;Gemeente;29.988;4.580;3.774;6.592;9.272;5.770
GM0209;Beuningen;Gemeente;25.890;3.850;2.946;5.634;8.352;5.108
GM0375;Beverwijk;Gemeente;41.626;6.630;4.639;10.967;11.785;7.605
GM1728;Bladel;Gemeente;20.390;3.043;2.406;4.532;5.980;4.429
GM0376;Blaricum;Gemeente;11.538;2.132;1.078;2.347;3.119;2.862
