areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,23/01/2021,17796,3666295,1348,97329
overview,United Kingdom,K02000001,22/01/2021,28114,3648499,1401,95981
overview,United Kingdom,K02000001,21/01/2021,30963,3620385,1290,94580
overview,United Kingdom,K02000001,20/01/2021,34788,3589422,1820,93290
overview,United Kingdom,K02000001,19/01/2021,39179,3554634,1610,91470
overview,United Kingdom,K02000001,18/01/2021,44665,3515455,599,89860
overview,United Kingdom,K02000001,17/01/2021,28774,3470790,671,89261
overview,United Kingdom,K02000001,16/01/2021,30540,3442016,1295,88590
overview,United Kingdom,K02000001,15/01/2021,40435,3411476,1280,87295
overview,United Kingdom,K02000001,14/01/2021,42428,3371041,1248,86015
overview,United Kingdom,K02000001,13/01/2021,45422,3328613,1564,84767
overview,United Kingdom,K02000001,12/01/2021,49430,3283191,1243,83203
overview,United Kingdom,K02000001,11/01/2021,56767,3233761,529,81960
overview,United Kingdom,K02000001,10/01/2021,36269,3176994,563,81431
overview,United Kingdom,K02000001,09/01/2021,38901,3140725,1035,80868
overview,United Kingdom,K02000001,08/01/2021,47015,3101824,1325,79833
overview,United Kingdom,K02000001,07/01/2021,51809,3054809,1162,78508
overview,United Kingdom,K02000001,06/01/2021,57283,3003000,1041,77346
overview,United Kingdom,K02000001,05/01/2021,64925,2945717,830,76305
overview,United Kingdom,K02000001,04/01/2021,76090,2880792,407,75475
overview,United Kingdom,K02000001,03/01/2021,55178,2804702,455,75068
overview,United Kingdom,K02000001,02/01/2021,60392,2749524,445,74613
overview,United Kingdom,K02000001,01/01/2021,31837,2689132,656,74168
overview,United Kingdom,K02000001,31/12/2020,52789,2657295,964,73512
overview,United Kingdom,K02000001,30/12/2020,70791,2604506,981,72548
overview,United Kingdom,K02000001,29/12/2020,81522,2533715,414,71567
overview,United Kingdom,K02000001,28/12/2020,45604,2452193,357,71153
overview,United Kingdom,K02000001,27/12/2020,47756,2406589,317,70796
overview,United Kingdom,K02000001,26/12/2020,40360,2358833,230,70479
overview,United Kingdom,K02000001,25/12/2020,14178,2318473,613,70249
overview,United Kingdom,K02000001,24/12/2020,31851,2304295,585,69636
overview,United Kingdom,K02000001,23/12/2020,42287,2272444,744,69051
overview,United Kingdom,K02000001,22/12/2020,45678,2230157,691,68307
overview,United Kingdom,K02000001,21/12/2020,47389,2184479,215,67616
overview,United Kingdom,K02000001,20/12/2020,32477,2137090,326,67401
overview,United Kingdom,K02000001,19/12/2020,25154,2104613,534,67075
overview,United Kingdom,K02000001,18/12/2020,35851,2079459,489,66541
overview,United Kingdom,K02000001,17/12/2020,33893,2043608,532,66052
overview,United Kingdom,K02000001,16/12/2020,34882,2009715,613,65520
overview,United Kingdom,K02000001,15/12/2020,33877,1974833,506,64908
overview,United Kingdom,K02000001,14/12/2020,34728,1940956,232,64402
overview,United Kingdom,K02000001,13/12/2020,21991,1906228,144,64170
overview,United Kingdom,K02000001,12/12/2020,19362,1884237,519,64026
overview,United Kingdom,K02000001,11/12/2020,24094,1864875,424,63506
overview,United Kingdom,K02000001,10/12/2020,22633,1840781,516,63082
